X(frequência angular-w(rad/s);G';G'';h*;Experiencia;PerfilFuso;Velocidade de rotação dos fusos (N/rpm);Temperatura (T/ºC);Débito (Q/kg.h-1)
0.01;44.5;80.4;9190;P1N2_46;90;300;180;4
0.0193;93.3;137;8570;P1N2_46;90;300;180;4
0.0373;142;217;6960;P1N2_46;90;300;180;4
0.072;203;341;5510;P1N2_46;90;300;180;4
0.139;292;545;4450;P1N2_46;90;300;180;4
0.268;433;878;3650;P1N2_46;90;300;180;4
0.518;671;1420;3040;P1N2_46;90;300;180;4
1;1080;2290;2540;P1N2_46;90;300;180;4
1.93;1820;3660;2120;P1N2_46;90;300;180;4
3.73;3080;5710;1740;P1N2_46;90;300;180;4
7.2;5190;8630;1400;P1N2_46;90;300;180;4
13.9;8640;12600;1100;P1N2_46;90;300;180;4
26.8;14000;17800;844;P1N2_46;90;300;180;4
51.8;21800;24300;629;P1N2_46;90;300;180;4
100;32600;31700;455;P1N2_46;90;300;180;4
0.01;43.2;86.3;9650;P1N2_47;90;300;180;4
0.0193;96.3;152;9310;P1N2_47;90;300;180;4
0.0373;151;243;7680;P1N2_47;90;300;180;4
0.072;221;385;6170;P1N2_47;90;300;180;4
0.139;321;615;4990;P1N2_47;90;300;180;4
0.268;483;994;4120;P1N2_47;90;300;180;4
0.518;757;1610;3430;P1N2_47;90;300;180;4
1;1230;2580;2860;P1N2_47;90;300;180;4
1.93;2060;4080;2370;P1N2_47;90;300;180;4
3.73;3500;6320;1940;P1N2_47;90;300;180;4
7.2;5890;9490;1550;P1N2_47;90;300;180;4
13.9;9730;13800;1210;P1N2_47;90;300;180;4
26.8;15600;19300;924;P1N2_47;90;300;180;4
51.8;24100;26000;683;P1N2_47;90;300;180;4
100;35700;33600;490;P1N2_47;90;300;180;4
0.01;37.6;73;8210;P1N2_48;90;300;180;4
0.0193;81.6;129;7890;P1N2_48;90;300;180;4
0.0373;127;205;6470;P1N2_48;90;300;180;4
0.072;185;327;5220;P1N2_48;90;300;180;4
0.139;269;523;4230;P1N2_48;90;300;180;4
0.268;405;850;3510;P1N2_48;90;300;180;4
0.518;633;1380;2940;P1N2_48;90;300;180;4
1;1030;2250;2470;P1N2_48;90;300;180;4
1.93;1740;3580;2060;P1N2_48;90;300;180;4
3.73;2960;5600;1700;P1N2_48;90;300;180;4
7.2;5040;8510;1370;P1N2_48;90;300;180;4
13.9;8440;12500;1090;P1N2_48;90;300;180;4
26.8;13700;17700;835;P1N2_48;90;300;180;4
51.8;21500;24100;624;P1N2_48;90;300;180;4
100;32300;31600;451;P1N2_48;90;300;180;4
